gene,mean_real,mean_virtual,logFC_virtual_vs_real,pearson_r
Lpcat2,0.059788212,0.0003446652,-0.057724483,
Mt2,0.08183665,0.00043509848,-0.078225195,
Mt1,0.24024796,0.0003834481,-0.21492796,
Herpud1,0.38770747,0.0005607154,-0.32709253,
Cpne2,0.04432912,0.00036354354,-0.043011215,
Ccl22,0.062708244,0.00053926324,-0.060281478,
Ccl17,0.025839891,0.000335591,-0.025176147,
Pdp2,0.060031757,0.0003751588,-0.05792378,
Rrad,0.068787836,0.0004605476,-0.06606471,
Ripor1,0.04228596,0.0003745392,-0.04104187,
Carmil2,0.10821142,0.0004893365,-0.10225817,
Edc4,0.05237639,0.0004563961,-0.050594542,
Dpep2,0.0125424685,0.00031319624,-0.012151316,
Slc7a6,0.022008087,0.00047918357,-0.021290338,
Sntb2,0.062420808,0.0004861485,-0.060064055,
Cog8,0.11624978,0.00039996445,-0.109574765,
Nfat5,0.2226848,0.0005451302,-0.20050412,
Zfhx3,0.011734829,0.00032572908,-0.011340834,
Hp,0.066998206,0.0003175204,-0.06453182,
Atxn1l,0.00921073,0.00036019864,-0.008808436,
Fuk,0.046048667,0.00043017048,-0.044589814,
Nudt7,0.012089689,0.00037209658,-0.011645166,
Maf,0.1496448,0.00046038878,-0.13899274,
Plcg2,0.10132576,0.0003580339,-0.09615672,
Irf8,0.4673528,0.00093238556,-0.38252804,
Zfpm1,0.04485528,0.00047087093,-0.043407626,
Mvd,0.057511706,0.0004265565,-0.055492237,
Cbfa2t3,0.26588604,0.0004950605,-0.23527735,
Vps9d1,0.13293639,0.00038312457,-0.12442979,
Ccsap,0.03348137,0.00037098213,-0.032562163,
Fam89a,0.027587447,0.00034787194,-0.02686596,
Gm26759,0.032055534,0.00050029415,-0.03105231,
Nrp1,0.115736544,0.0003727632,-0.10914207,
Itgb1,0.38535574,0.00064499874,-0.32531217,
Dnase1l3,0.10485679,0.00036610375,-0.099349685,
Psmd6,0.35130724,0.0005384085,-0.3005342,
Oxsm,0.028531447,0.0004130956,-0.027718997,
Ube2e2,0.049014248,0.00030216022,-0.0475488,
Rtraf,0.74639124,0.0007844418,-0.55676734,
Gng2,0.21091677,0.0006804247,-0.19069755,
Saysd1,0.1348926,0.0003746592,-0.12616344,
Actr8,0.110739216,0.00035680368,-0.10466901,
Prkcd,0.27338755,0.00051901693,-0.24116182,
Bap1,0.048253972,0.00037785454,-0.046748117,
Sh3bp5,0.2077164,0.00042451287,-0.18830688,
Wdfy4,0.11158922,0.00042823926,-0.10536258,
Arhgap22,0.1270902,0.00036903968,-0.119270295,
Ccser2,0.11970054,0.00060600915,-0.11245545,
2610528A11Rik,0.109448224,0.00032641544,-0.103536434,
AC160336.1,0.42670536,0.0010149635,-0.3543534,
Txndc16,0.07703183,0.0003691087,-0.07383991,
Ddhd1,0.15889981,0.00042983153,-0.1470414,
Gch1,0.07194655,0.00052464125,-0.068951696,
Mapk1ip1l,0.19495344,0.0005188028,-0.17758855,
Lgals3,0.31494427,0.000413691,-0.2733807,
Dlgap5,0.02807745,0.0002603529,-0.027430184,
Ktn1,0.28826407,0.00045247222,-0.25284326,
Parp2,0.11124253,0.0004347127,-0.10504417,
Pnp,0.26423153,0.0006150651,-0.23384957,
Rnase6,0.10210545,0.0004636478,-0.096758865,
Arhgef40,0.10307782,0.000386199,-0.097718164,
Trdc,0.07900497,0.00034930074,-0.07569005,
Slc7a7,0.025877958,0.00037745017,-0.025171412,
Prmt5,0.054468855,0.0006058826,-0.052431487,
1700123O20Rik,0.15494053,0.0005439664,-0.14350504,
Homez,0.045064077,0.00037349542,-0.043704774,
Pck2,0.06320751,0.00048089452,-0.06080951,
Psme2,1.1241177,0.0012513767,-0.75210595,
Ltb4r1,0.06662847,0.00046640335,-0.06403642,
Gzmb,0.033402514,0.0007702915,-0.03208677,
Mphosph8,0.2135882,0.00051818386,-0.19306338,
Rcbtb1,0.04081536,0.00034767893,-0.039656788,
Phf11a,0.017360294,0.00043217753,-0.016779242,
Phf11b,0.2018122,0.0009912606,-0.18283981,
Phf11d,0.0,0.00037966657,0.0003795945,
Phf11c,0.08333743,0.0006641626,-0.079382546,
Cab39l,0.019110212,0.00058904005,-0.01834104,
Mtmr6,0.09189627,0.0004674461,-0.087448545,
Ctsb,0.44258538,0.0005262163,-0.36591086,
Fdft1,0.04690171,0.00047699307,-0.045358174,
Clu,0.18296182,0.00041889242,-0.1676025,
Dpysl2,0.09296594,0.0004143332,-0.0884808,
Egr3,0.081840515,0.00030028063,-0.07836354,
Dok2,0.23629086,0.00050618534,-0.21160959,
Fndc3a,0.1630678,0.00054654817,-0.15051477,
Sucla2,0.10596024,0.0004012662,-0.10031277,
Rubcnl,0.011128032,0.00038275018,-0.010683893,
Zc3h13,0.29030478,0.000505776,-0.2543728,
Slc25a30,0.025962353,0.0003858431,-0.025245285,
Tsc22d1,0.0621664,0.0003396251,-0.05997103,
Serp2,0.01483432,0.00038704596,-0.0143383965,
Ccdc122,0.02788569,0.0003984166,-0.027105628,
Epsti1,0.95662206,0.0012411864,-0.6699791,
Sugt1,0.3164143,0.0005847868,-0.27432698,
Tbc1d4,0.42365268,0.0006578379,-0.35256827,
Kctd12,0.3410142,0.00038929508,-0.29303697,
Spry2,0.09555276,0.00036601565,-0.09089309,
Ipo5,0.24214067,0.00051478064,-0.2163216,
