gene,mean_real,mean_virtual,logFC_virtual_vs_real,pearson_r
Lrba,0.109007165,0.00047289423,-0.10299238,
Etv3,0.45063922,0.0005681479,-0.37143633,
Hdgf,0.36574593,0.0007508407,-0.3109502,
Cct3,0.500652,0.0007293684,-0.4051706,
Lmna,0.08624449,0.00037859083,-0.08234781,
Fdps,0.15714183,0.00038789454,-0.14556521,
Clk2,0.06014747,0.0004993758,-0.05790877,
Muc1,0.06340088,0.0003885486,-0.06108368,
Cks1b,0.12732314,0.00037197748,-0.119474,
Pbxip1,0.29823163,0.0004285697,-0.26057458,
Pmvk,0.110451326,0.00050528254,-0.104261376,
S100a4,0.59110266,0.0009141612,-0.46351352,
S100a6,0.8766747,0.001088085,-0.628414,
S100a8,0.16306108,0.000730019,-0.15032564,
S100a9,0.18753216,0.00072433276,-0.17115325,
S100a11,0.860893,0.00088660774,-0.6201703,
S100a10,1.0969404,0.0010807207,-0.7393992,
Ctss,0.7409129,0.0011360298,-0.5532742,
Golph3l,0.07719642,0.00033242334,-0.074029386,
Prpf3,0.044904143,0.0003220718,-0.04360313,
BC028528,0.06726511,0.00038215777,-0.064717315,
Plekho1,0.17327152,0.00040467022,-0.15939143,
Fcgr1,0.0,0.00041408022,0.0004139945,
Ankrd35,0.011734829,0.00037191168,-0.011294668,
Pias3,0.081357785,0.00035280743,-0.077864714,
Nudt17,0.11303435,0.00033920252,-0.106750794,
Polr3c,0.23647846,0.00045588083,-0.21181162,
Rnf115,0.3309295,0.0005202203,-0.28535748,
Cd160,0.20340586,0.00045383588,-0.18470201,
Bcl9,0.053804785,0.00030410464,-0.05210316,
Phgdh,0.3523063,0.00064014556,-0.30117157,
Fam46c,0.12998727,0.0004440937,-0.12176237,
Ttf2,0.027944112,0.00041254744,-0.027148338,
Igsf3,0.0305187,0.00034620083,-0.029716127,
Slc22a15,0.07212103,0.00040808617,-0.06923096,
Hipk1,0.29566914,0.0005635322,-0.2584639,
Slc16a1,0.01324313,0.00040386894,-0.012752419,
Rhoc,0.04669766,0.0004694786,-0.045170754,
Cttnbp2nl,0.05113803,0.00040170972,-0.049471784,
Gm5547,0.1562345,0.00033104303,-0.14483762,
Kcna2,0.05885032,0.00033243722,-0.056851335,
Csf1,0.10531261,0.00038638286,-0.0997419,
Taf13,0.07212171,0.00053033646,-0.06910939,
Wdr47,0.042875826,0.00038534313,-0.041596845,
Clcc1,0.03695029,0.00044927397,-0.03583482,
Fndc7,0.040683653,0.00037266777,-0.03950526,
S1pr1,0.4401453,0.0006484936,-0.36409572,
Vcam1,0.06355518,0.00032806076,-0.061289232,
Slc35a3,0.017373743,0.00041912735,-0.016805505,
